Test N:;Tempo di Esecuzione ( sec );Numero di Nodi;Numero di Archi;|V|*|E|;Tipologia
1;0,000211;10;9;90;Aciclico
2;0,000673056;21;20;420;Aciclico
3;0,001255274;31;30;930;Aciclico
4;0,002032995;42;41;1722;Aciclico
5;0,002983093;52;51;2652;Aciclico
6;0,004119158;63;62;3906;Aciclico
7;0,005320072;73;72;5256;Aciclico
8;0,00648427;84;83;6972;Aciclico
9;0,008116961;94;93;8742;Aciclico
10;0,009864807;105;104;10920;Aciclico
11;0,011777163;115;114;13110;Aciclico
12;0,013750076;126;125;15750;Aciclico
13;0,015901804;136;135;18360;Aciclico
14;0,018110991;147;146;21462;Aciclico
15;0,02088213;157;156;24492;Aciclico
16;0,023229122;168;167;28056;Aciclico
17;0,027034283;178;177;31506;Aciclico
18;0,029812098;189;188;35532;Aciclico
19;0,032751799;199;198;39402;Aciclico
20;0,035674095;210;209;43890;Aciclico
21;0,040808201;220;219;48180;Aciclico
22;0,043129206;231;230;53130;Aciclico
23;0,045991898;241;240;57840;Aciclico
24;0,049996853;252;251;63252;Aciclico
25;0,054506063;262;261;68382;Aciclico
26;0,058202982;273;272;74256;Aciclico
27;0,061925888;283;282;79806;Aciclico
28;0,066011906;294;293;86142;Aciclico
29;0,072367191;304;303;92112;Aciclico
30;0,075737715;315;314;98910;Aciclico
31;0,081244946;325;324;105300;Aciclico
32;0,085986137;336;335;112560;Aciclico
33;0,096627951;346;345;119370;Aciclico
34;0,101320267;357;356;127092;Aciclico
35;0,105928183;367;366;134322;Aciclico
36;0,113620996;378;377;142506;Aciclico
37;0,117594242;388;387;150156;Aciclico
38;0,124710798;399;398;158802;Aciclico
39;0,132699966;409;408;166872;Aciclico
40;0,136142015;420;419;175980;Aciclico
41;0,143037796;430;429;184470;Aciclico
42;0,148866892;441;440;194040;Aciclico
43;0,15737009;451;450;202950;Aciclico
44;0,162862062;462;461;212982;Aciclico
45;0,168370008;472;471;222312;Aciclico
46;0,177122831;483;482;232806;Aciclico
47;0,183475971;493;492;242556;Aciclico
48;0,191015005;504;503;253512;Aciclico
49;0,199961185;514;513;263682;Aciclico
50;0,207133055;525;524;275100;Aciclico
51;0,213835001;535;534;285690;Aciclico
52;0,22294569;546;545;297570;Aciclico
53;0,232566118;556;555;308580;Aciclico
54;0,241928101;567;566;320922;Aciclico
55;0,250792265;577;576;332352;Aciclico
56;0,255558014;588;587;345156;Aciclico
57;0,268072128;598;597;357006;Aciclico
58;0,276596069;609;608;370272;Aciclico
59;0,28610301;619;618;382542;Aciclico
60;0,293351889;630;629;396270;Aciclico
61;0,302223921;640;639;408960;Aciclico
62;0,316711903;651;650;423150;Aciclico
63;0,32336092;661;660;436260;Aciclico
64;0,331348896;672;671;450912;Aciclico
65;0,339864016;682;681;464442;Aciclico
66;0,375241995;693;692;479556;Aciclico
67;0,383257151;703;702;493506;Aciclico
68;0,393085003;714;713;509082;Aciclico
69;0,401669025;724;723;523452;Aciclico
70;0,412950039;735;734;539490;Aciclico
71;0,42397213;745;744;554280;Aciclico
72;0,468097925;756;755;570780;Aciclico
73;0,451572895;766;765;585990;Aciclico
74;0,460637331;777;776;602952;Aciclico
75;0,496393919;787;786;618582;Aciclico
76;0,501563311;798;797;636006;Aciclico
77;0,516156912;808;807;652056;Aciclico
78;0,539023876;819;818;669942;Aciclico
79;0,543427944;829;828;686412;Aciclico
80;0,553932905;840;839;704760;Aciclico
81;0,568438053;850;849;721650;Aciclico
82;0,578969002;861;860;740460;Aciclico
83;0,598779202;871;870;757770;Aciclico
84;0,615198851;882;881;777042;Aciclico
85;0,620193005;892;891;794772;Aciclico
86;0,642659187;903;902;814506;Aciclico
87;0,656330109;913;912;832656;Aciclico
88;0,661275864;924;923;852852;Aciclico
89;0,683033228;934;933;871422;Aciclico
90;0,688348293;945;944;892080;Aciclico
91;0,719624996;955;954;911070;Aciclico
92;0,721984863;966;965;932190;Aciclico
93;0,732420921;976;975;951600;Aciclico
94;0,756317854;987;986;973182;Aciclico
95;0,764032125;997;996;993012;Aciclico
96;0,782628059;1008;1007;1015056;Aciclico
97;0,807452917;1018;1017;1035306;Aciclico
98;0,812119007;1029;1028;1057812;Aciclico
99;0,839123964;1039;1038;1078482;Aciclico
100;0,859597206;1050;1049;1101450;Aciclico
