Test N:	Tempo di Esecuzione ( sec )	Numero di Nodi	Numero di Archi	|V|*|E|	Tipologia
1	 0.0006659030914306641 	10	59	590	  Ciclico
2	 0.004252910614013672 	21	261	5481	  Ciclico
3	 0.01252889633178711 	31	595	18445	  Ciclico
4	 0.030082225799560547 	42	1120	47040	  Ciclico
5	 0.053642988204956055 	52	1700	88400	  Ciclico
6	 0.09302902221679688 	63	2504	157752	  Ciclico
7	 0.14135122299194336 	73	3318	242214	  Ciclico
8	 0.2128891944885254 	84	4425	371700	  Ciclico
9	 0.2979452610015869 	94	5575	524050	  Ciclico
10	 0.4133439064025879 	105	6980	732900	  Ciclico
11	 0.5399701595306396 	115	8384	964160	  Ciclico
12	 0.703606128692627 	126	9978	1257228	  Ciclico
13	 0.874330997467041 	136	11628	1581408	  Ciclico
14	 1.1096649169921875 	147	13664	2008608	  Ciclico
15	 1.334244728088379 	157	15511	2435227	  Ciclico
16	 1.641977071762085 	168	17732	2978976	  Ciclico
17	 1.9584650993347168 	178	20001	3560178	  Ciclico
18	 2.342822313308716 	189	22481	4248909	  Ciclico
19	 2.731290102005005 	199	24955	4966045	  Ciclico
20	 3.1974098682403564 	210	27741	5825610	  Ciclico
21	 3.666597843170166 	220	30531	6716820	  Ciclico
22	 4.245980739593506 	231	33569	7754439	  Ciclico
23	 4.8230767250061035 	241	36602	8821082	  Ciclico
24	 5.500957012176514 	252	39957	10069164	  Ciclico
25	 6.180771112442017 	262	43234	11327308	  Ciclico
26	 7.001891136169434 	273	46936	12813528	  Ciclico
27	 7.757642984390259 	283	50352	14249616	  Ciclico
28	 8.732160091400146 	294	54585	16047990	  Ciclico
29	 9.606351852416992 	304	58354	17739616	  Ciclico
30	 10.718859672546387 	315	62645	19733175	  Ciclico
31	 11.704399824142456 	325	66406	21581950	  Ciclico
32	 13.000284910202026 	336	71400	23990400	  Ciclico
33	 14.172043085098267 	346	75568	26146528	  Ciclico
34	 15.581786870956421 	357	80479	28731003	  Ciclico
35	 16.918380975723267 	367	85005	31196835	  Ciclico
36	 18.480433225631714 	378	90315	34139070	  Ciclico
37	 20.072441816329956 	388	95200	36937600	  Ciclico
38	 21.69586491584778 	399	100373	40048827	  Ciclico
39	 23.353492975234985 	409	105725	43241525	  Ciclico
40	 25.281556129455566 	420	111238	46719960	  Ciclico
41	 27.25836205482483 	430	116711	50185730	  Ciclico
42	 29.3161301612854 	441	122793	54151713	  Ciclico
43	 31.313563108444214 	451	128466	57938166	  Ciclico
44	 33.65601682662964 	462	134806	62280372	  Ciclico
45	 35.91837811470032 	472	140600	66363200	  Ciclico
46	 38.44685077667236 	483	147230	71112090	  Ciclico
47	 40.952534198760986 	493	153342	75597606	  Ciclico
48	 43.600162982940674 	504	160215	80748360	  Ciclico
49	 46.32330107688904 	514	166869	85770666	  Ciclico
50	 49.46886110305786 	525	174162	91435050	  Ciclico
51	 52.08293581008911 	535	180526	96581410	  Ciclico
52	 55.45267081260681 	546	188284	102803064	  Ciclico
53	 58.5634880065918 	556	195256	108562336	  Ciclico
54	 62.33034920692444 	567	202954	115074918	  Ciclico
55	 65.23850107192993 	577	210010	121175770	  Ciclico
56	 69.72202181816101 	588	218185	128292780	  Ciclico
57	 73.09407210350037 	598	225215	134678570	  Ciclico
58	 77.04258894920349 	609	234414	142758126	  Ciclico
59	 80.80794191360474 	619	241926	149752194	  Ciclico
60	 85.3151261806488 	630	250788	157996440	  Ciclico
61	 89.35671401023865 	640	258488	165432320	  Ciclico
62	 94.27217507362366 	651	267761	174312411	  Ciclico
63	 98.21524596214294 	661	275815	182313715	  Ciclico
64	 103.22705006599426 	672	285060	191560320	  Ciclico
65	 111.16116905212402 	682	293827	200390014	  Ciclico
66	 114.03181385993958 	693	303300	210186900	  Ciclico
67	 118.50532388687134 	703	312201	219477303	  Ciclico
68	 124.1443600654602 	714	322215	230061510	  Ciclico
69	 132.13641095161438 	724	331299	239860476	  Ciclico
70	 135.40340185165405 	735	340857	250529895	  Ciclico
71	 140.8358690738678 	745	350815	261357175	  Ciclico
72	 147.05681896209717 	756	360789	272756484	  Ciclico
73	 153.23262190818787 	766	370425	283745550	  Ciclico
74	 160.5924460887909 	777	381161	296162097	  Ciclico
75	 165.98113083839417 	787	391035	307744545	  Ciclico
76	 176.555828332901 	798	401965	320768070	  Ciclico
77	 180.16671299934387 	808	412131	333001848	  Ciclico
78	 187.7892620563507 	819	423346	346720374	  Ciclico
79	 196.78757500648499 	829	434456	360164024	  Ciclico
80	 202.63922810554504 	840	446126	374745840	  Ciclico
81	 209.78636479377747 	850	456442	387975700	  Ciclico
82	 218.27674770355225 	861	468486	403366446	  Ciclico
83	 226.1985306739807 	871	479670	417792570	  Ciclico
84	 236.58211302757263 	882	491552	433548864	  Ciclico
85	 242.49854516983032 	892	502876	448565392	  Ciclico
86	 254.92075324058533 	903	515262	465281586	  Ciclico
87	 259.48873019218445 	913	526433	480633329	  Ciclico
88	 268.5136528015137 	924	539708	498690192	  Ciclico
89	 278.7509129047394 	934	551776	515358784	  Ciclico
90	 288.388503074646 	945	564129	533101905	  Ciclico
91	 298.37039399147034 	955	576314	550379870	  Ciclico
92	 310.58015179634094 	966	589711	569660826	  Ciclico
93	 317.6489350795746 	976	601004	586579904	  Ciclico
94	 330.92746210098267 	987	615404	607403748	  Ciclico
95	 339.41476011276245 	997	628395	626509815	  Ciclico
96	 347.796795129776 	1008	642270	647408160	  Ciclico
97	 356.48211002349854 	1018	654618	666401124	  Ciclico
98	 369.1012120246887 	1029	668381	687764049	  Ciclico
99	 382.72755694389343 	1039	682165	708769435	  Ciclico
100	 391.7087960243225 	1050	696277	731090850	  Ciclico
